,churn,suceessful,revenue,covid_cases_zip,reviews_per_month,review_scores_rating,number_of_reviews_ltm,number_of_reviews,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,cleaning_fee,maximum_minimum_nights,minimum_nights_avg_ntm,availability_365,review_scores_checkin
5327,0,6,49500,34.0,2.188318,95.61255,0,0,2,1,3.8333333333333335,100.0,91.72184166666666,90.95796,2.0,2.0,0,9.872224000000001
5328,0,0,2000,35.0,1.12,94.83333333333333,13,15,1,1,4.0,96.33333333333333,96.22184166666666,100.0,2.0,2.0,353,10.0
5329,0,0,5880,35.0,2.86,98.33333333333333,33,39,2,0,4.0,100.0,98.88850833333333,20.0,2.0,2.0,89,10.0
5330,0,0,405,59.0,0.59,93.5,7,7,2,2,4.0,100.0,88.72184166666666,150.0,10.666666666666666,10.666666666666666,365,10.0
5331,0,4,16200,34.0,3.76,98.16666666666667,45,53,1,1,4.0,100.0,97.38850833333333,90.95796,2.3333333333333335,1.0666666666666667,208,10.0
5332,0,0,5005,76.0,4.89,97.0,53,53,1,1,4.0,100.0,97.38850833333333,20.0,1.0,1.0,173,10.0
5333,0,0,2600,35.0,0.95,100.0,11,13,5,5,3.5,99.46432499999999,97.72184166666666,60.0,3.0,3.0,178,10.0
5334,0,0,2200,35.0,1.17,97.66666666666667,13,16,5,5,3.5,99.46432499999999,97.72184166666666,50.0,3.0,3.0,175,10.0
5335,0,0,3100,35.0,0.96,100.0,11,13,5,5,3.5,99.46432499999999,97.72184166666666,60.0,3.0,3.0,178,10.0
5336,0,0,2646,35.0,0.81,97.83333333333333,10,11,5,5,3.5,99.46432499999999,97.72184166666666,60.0,3.0,3.0,176,10.0
5337,0,0,5586,5.0,2.96,93.83333333333333,33,42,2,2,4.0,100.0,96.88850833333333,100.0,2.8333333333333335,2.1166666666666667,153,10.0
5338,0,0,3079,5.0,2.68,94.0,32,38,2,2,4.0,100.0,96.88850833333333,80.0,3.0,2.1166666666666667,158,10.0
5339,0,0,1530,46.0,0.85,86.5,11,12,2,2,2.8333333333333335,92.5,59.055175,85.0,3.6666666666666665,2.033333333333333,90,8.0
5340,1,0,3250,35.0,0.62,100.0,7,7,1,1,3.4,99.35719,98.86621,125.0,2.0,2.0,179,10.0
5341,0,5,26790,76.0,0.49,100.0,5,5,1,1,2.8333333333333335,98.92865,99.055175,150.0,2.6666666666666665,2.6666666666666665,119,10.0
5342,0,2,10197,35.0,1.68,94.66666666666667,20,22,7,7,4.0,100.0,99.055175,150.0,2.5,1.3833333333333335,0,10.0
5343,0,0,6100,23.0,2.12,98.33333333333333,25,25,2,1,3.1666666666666665,90.0,88.055175,50.0,1.0,1.0,88,10.0
5344,0,4,13500,76.0,1.71,87.16666666666667,16,16,1,1,3.6666666666666665,100.0,95.555175,20.0,1.0,1.0,161,10.0
5345,0,1,7500,34.0,0.96,100.0,9,9,1,0,3.5,99.46432499999999,99.055175,30.0,3.0,3.0,172,10.0
5346,0,5,12600,59.0,2.47,99.0,29,31,1,1,3.6666666666666665,100.0,93.555175,90.95796,2.0,2.0,66,10.0
5347,0,0,2756,59.0,1.58,95.33333333333333,17,17,2,2,4.0,100.0,88.72184166666666,50.0,1.3333333333333333,1.3333333333333333,0,10.0
5348,0,2,8964,46.0,3.31,96.0,42,46,12,11,4.0,100.0,99.055175,75.0,2.5,1.8833333333333335,86,10.0
5349,0,1,5695,76.0,2.04,98.33333333333333,24,25,1,1,4.0,100.0,99.055175,85.0,2.8333333333333335,2.8333333333333335,180,10.0
5350,0,0,5475,30.0,3.02,98.0,34,42,8,8,4.0,95.16666666666667,98.22184166666666,125.0,4.0,1.5,360,10.0
5351,0,0,3623,35.0,1.98,98.16666666666667,23,26,112,111,3.8333333333333335,97.0,98.22184166666666,111.0,2.0,1.7833333333333332,296,10.0
5352,0,0,7957,35.0,1.66,94.66666666666667,19,23,112,111,3.8333333333333335,97.0,98.22184166666666,91.0,2.0,2.0,272,10.0
5353,0,0,3091,35.0,0.94,97.0,10,13,112,111,3.8333333333333335,97.0,98.22184166666666,111.0,2.0,2.0,296,10.0
5354,0,5,19760,59.0,1.3,90.33333333333333,15,16,1,1,2.6666666666666665,99.46432499999999,96.38850833333333,150.0,1.0,1.0,0,10.0
5355,0,0,3600,34.0,1.7,97.8,20,21,4,4,4.0,100.0,98.86621,85.0,8.4,8.4,176,10.0
5356,0,3,15546,23.0,0.3,90.0,2,4,43,43,3.6,92.8,98.46621,129.0,3.0,2.1799999999999997,340,10.0
